rank,saturn_sign,career_sector,enrichment,observed,expected
94,Aquarius,Education & Research,0.979,950,970
95,Virgo,Arts, Media & Entertainment,0.979,776,792
96,Leo,Consulting & Professional Services,0.979,741,756
97,Scorpio,Engineering & Manufacturing,0.980,830,847
98,Virgo,Biotech & Pharmaceuticals,0.980,765,780
99,Aries,Education & Research,0.980,730,744
100,Aries,Logistics, Supply Chain & Transport,0.980,727,741
101,Sagittarius,Legal & Compliance,1.019,1148,1126
102,Cancer,Finance & Banking,0.981,708,721
103,Libra,Logistics, Supply Chain & Transport,1.019,813,797
104,Sagittarius,Agriculture & Environment,1.019,1123,1102
105,Cancer,Arts, Media & Entertainment,1.018,743,729
106,Scorpio,Consulting & Professional Services,1.018,864,848
107,Virgo,Engineering & Manufacturing,1.018,806,791
108,Aquarius,Logistics, Supply Chain & Transport,0.982,949,966
109,Aquarius,Technology & AI,1.018,999,981
110,Aries,Biotech & Pharmaceuticals,0.983,730,742
111,Capricorn,Biotech & Pharmaceuticals,1.017,1139,1119
112,Cancer,Technology & AI,1.017,742,729
113,Pisces,Real Estate & Construction,1.017,767,754
114,Scorpio,Technology & AI,1.016,861,847
115,Leo,Legal & Compliance,0.985,756,767
116,Scorpio,Energy, Oil & Gas,0.985,833,845
117,Aquarius,Healthcare & Medicine,0.986,955,968
118,Cancer,Consulting & Professional Services,0.986,720,730
119,Gemini,Consulting & Professional Services,1.014,696,686
120,Sagittarius,Real Estate & Construction,1.014,1117,1102
121,Scorpio,Education & Research,1.013,849,837
122,Pisces,Finance & Banking,0.987,741,750
123,Capricorn,Government, Public Policy & Defense,0.987,1117,1131
124,Leo,Finance & Banking,0.987,738,747
125,Pisces,Engineering & Manufacturing,0.987,749,758
126,Libra,Biotech & Pharmaceuticals,1.013,809,798
127,Libra,Technology & AI,0.988,801,810
128,Sagittarius,Education & Research,1.012,1109,1095
129,Virgo,Finance & Banking,1.012,793,783
130,Gemini,Agriculture & Environment,0.988,674,681
131,Gemini,Finance & Banking,1.011,686,678
132,Libra,Hospitality, Tourism & Retail,0.989,797,805
133,Scorpio,Arts, Media & Entertainment,1.011,857,847
134,Gemini,Engineering & Manufacturing,0.989,678,685
135,Leo,Real Estate & Construction,1.011,759,751
136,Aquarius,Real Estate & Construction,1.011,986,975
137,Aries,Arts, Media & Entertainment,0.990,746,753
138,Libra,Consulting & Professional Services,1.010,820,811
139,Taurus,Logistics, Supply Chain & Transport,0.990,670,676
140,Leo,Agriculture & Environment,0.990,744,751
141,Taurus,Consulting & Professional Services,0.990,682,688
142,Taurus,Legal & Compliance,0.990,692,698
143,Gemini,Legal & Compliance,1.009,703,696
144,Sagittarius,Energy, Oil & Gas,0.991,1096,1106
145,Aries,Real Estate & Construction,1.009,756,749
146,Gemini,Government, Public Policy & Defense,1.009,689,683
147,Pisces,Hospitality, Tourism & Retail,0.993,749,754
148,Sagittarius,Logistics, Supply Chain & Transport,1.007,1099,1091
149,Gemini,Technology & AI,0.993,681,685
150,Aries,Healthcare & Medicine,1.007,749,743
151,Sagittarius,Healthcare & Medicine,0.993,1087,1094
152,Pisces,Consulting & Professional Services,0.994,755,759
153,Virgo,Education & Research,1.006,788,783
154,Leo,Technology & AI,0.994,751,755
155,Leo,Logistics, Supply Chain & Transport,0.994,739,743
156,Taurus,Government, Public Policy & Defense,0.994,681,685
157,Leo,Government, Public Policy & Defense,1.006,757,752
158,Capricorn,Arts, Media & Entertainment,0.994,1130,1136
159,Taurus,Hospitality, Tourism & Retail,0.994,680,683
160,Cancer,Education & Research,1.005,725,721
161,Leo,Biotech & Pharmaceuticals,0.995,741,744
162,Pisces,Legal & Compliance,0.995,767,770
163,Aries,Energy, Oil & Gas,1.004,755,751
164,Sagittarius,Government, Public Policy & Defense,0.996,1100,1104
165,Libra,Energy, Oil & Gas,1.004,812,808
166,Capricorn,Consulting & Professional Services,1.004,1142,1137
167,Pisces,Education & Research,1.004,753,750
168,Capricorn,Agriculture & Environment,1.003,1133,1129
169,Aquarius,Agriculture & Environment,1.003,979,976
170,Aries,Technology & AI,1.003,756,753
171,Taurus,Biotech & Pharmaceuticals,0.997,676,677
172,Pisces,Biotech & Pharmaceuticals,0.997,746,748
173,Capricorn,Legal & Compliance,1.003,1157,1154
174,Cancer,Real Estate & Construction,1.003,727,725
175,Scorpio,Real Estate & Construction,1.002,844,842
176,Virgo,Consulting & Professional Services,1.001,794,793
177,Virgo,Legal & Compliance,0.999,804,804
178,Sagittarius,Hospitality, Tourism & Retail,1.001,1103,1102
179,Scorpio,Agriculture & Environment,1.000,843,842
180,Leo,Energy, Oil & Gas,1.000,754,753
