Name | Birthday | Birthplace | Profession | Peak Event | Event Date | Natal Saturn (Lahiri) | House (Bhava) | Transit Saturn (Lahiri) | Pattern | Source
Neil Armstrong | 1930-08-05 | Wapakoneta, OH, US | Astronaut | Apollo 11 Moon Landing | 1969-07-21 | Dhanu 11°05' | 10th | 03°12' Mesha | Trine | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Elvis Presley | 1935-01-08 | Tupelo, MS, US | Musician | Heartbreak Hotel Reaches #1 | 1956-04-21 | Meena 19°30' | 2nd | 05°45' Mesha | Pre-Ingress Window | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Pelé | 1940-10-23 | Três Corações, Brazil | Athlete | Third World Cup Victory | 1970-06-21 | Mesha 15°20' | 1st | 08°10' Mesha | Return Window | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Vladimir Lenin | 1870-04-22 | Ulyanovsk, Russia | World Leader | October Revolution Leadership | 1917-11-07 | Tula 04°12' | 10th | 08°50' Karka | Square | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Joseph Stalin | 1878-12-18 | Gori, Georgia | World Leader | Victory in Europe (WWII) | 1945-05-09 | Mesha 11°30' | 10th | 14°20' Vrishabha | Sextile | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Harry S. Truman | 1884-05-08 | Lamar, MO, US | World Leader | Authorization of Marshall Plan | 1948-04-03 | Mithuna 11°45' | 7th | 24°10' Vrishabha | Sextile | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Dwight D. Eisenhower | 1890-10-14 | Denison, TX, US | World Leader / Military | D-Day Invasion Command | 1944-06-06 | Kanya 27°10' | 10th | 04°50' Mesha | Opposition | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Adolf Hitler | 1889-04-20 | Braunau am Inn, Austria | World Leader | Chancellor of Germany Appointment | 1933-01-30 | Simha 21°40' | 10th | 18°20' Makara | Square | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Benito Mussolini | 1883-07-29 | Predappio, Italy | World Leader | March on Rome | 1922-10-28 | Vrishabha 08°15' | 10th | 22°10' Mesha | Square | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Hirohito | 1901-04-29 | Tokyo, Japan | Royalty | Jewel Voice Broadcast (Surrender of Japan) | 1945-08-15 | Dhanu 14°20' | 10th | 28°10' Vrishabha | Trine | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Charles de Gaulle | 1890-11-22 | Lille, France | World Leader | Establishment of French Fifth Republic | 1958-10-05 | Kanya 29°50' | 10th | 28°15' Vrischika | Trine | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Mao Zedong | 1893-12-25 | Shaoshan, China | World Leader | Founding of the People's Republic of China | 1949-10-01 | Tula 10°20' | 10th | 24°10' Simha | Square | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Che Guevara | 1928-06-14 | Rosario, Argentina | Military Leader | Cuban Revolution Victory | 1959-01-01 | Vrischika 06°40' | 10th | 01°20' Dhanu | Pre-Ingress Window | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Fidel Castro | 1926-08-13 | Birán, Cuba | World Leader | Cuban Revolution Triumph | 1959-01-01 | Vrischika 28°10' | 10th | 01°20' Dhanu | Pre-Ingress Window | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Nelson Mandela | 1918-07-18 | Mvezo, South Africa | World Leader | Inauguration as President of South Africa | 1994-05-10 | Mithuna 22°15' | 10th | 15°25' Meena | Square | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Yitzhak Rabin | 1922-03-01 | Jerusalem | World Leader | Oslo Accords Signing | 1993-09-13 | Kanya 14°30' | 10th | 05°40' Kanya | Return Window | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Yasser Arafat | 1929-08-24 | Cairo, Egypt | World Leader | Oslo Accords Signing | 1993-09-13 | Vrishabha 03°12' | 10th | 05°40' Kanya | Trine | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Ronald Reagan | 1911-02-06 | Tampico, IL, US | World Leader | Fall of Berlin Wall (Symbolic Peak) | 1989-11-09 | Mesha 05°40' | 10th | 24°20' Dhanu | Trine | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Jimmy Carter | 1924-10-18 | Plains, GA, US | World Leader | Camp David Accords | 1978-09-17 | Tula 25°10' | 10th | 15°20' Simha | Trine | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Richard Nixon | 1913-01-09 | Yorba Linda, CA, US | World Leader | Historic Visit to China | 1972-02-21 | Tula 03°45' | 10th | 10°10' Vrishabha | Square | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Lyndon B. Johnson | 1908-08-27 | Stonewall, TX, US | World Leader | Civil Rights Act of 1964 Signing | 1964-07-02 | Kumbha 18°20' | 10th | 04°15' Vrischika | Square | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Gerald Ford | 1913-07-14 | Omaha, NE, US | World Leader | Helsinki Accords Signing | 1975-08-01 | Tula 06°30' | 10th | 28°10' Mithuna | Trine | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
George H.W. Bush | 1924-06-12 | Milton, MA, US | World Leader | Operation Desert Storm Launch | 1991-01-17 | Tula 23°10' | 10th | 10°45' Makara | Square | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Bill Clinton | 1946-08-19 | Hope, AR, US | World Leader | Oslo Accords Signing Brokered | 1993-09-13 | Karka 08°15' | 10th | 05°40' Kanya | Sextile | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
George W. Bush | 1946-07-06 | New Haven, CT, US | World Leader | Creation of Department of Homeland Security | 2002-11-25 | Karka 04°10' | 10th | 24°50' Vrishabha | Trine | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Barack Obama | 1961-08-04 | Honolulu, HI, US | World Leader | Affordable Care Act Signed Into Law | 2010-03-23 | Makara 05°20' | 10th | 12°10' Kanya | Trine | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Joe Biden | 1942-11-20 | Scranton, PA, US | World Leader | American Rescue Plan Signed | 2021-03-11 | Mesha 07°40' | 10th | 15°10' Makara | Square | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Angela Merkel | 1954-07-17 | Hamburg, Germany | World Leader | Chancellor Election Peak | 2005-11-22 | Vrischika 12°10' | 10th | 11°05' Mithuna | Opposition | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Emmanuel Macron | 1977-12-21 | Amiens, France | World Leader | French Presidential Election Victory | 2017-05-07 | Karka 25°15' | 10th | 02°10' Dhanu | Opposition | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Volodymyr Zelenskyy | 1978-01-25 | Kryvyi Rih, Ukraine | World Leader | Presidential Election Victory | 2019-04-21 | Simha 08°30' | 10th | 28°10' Dhanu | Trine | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Narendra Modi | 1950-09-17 | Vadnagar, India | World Leader | Indian General Election Landslide Victory | 2014-05-16 | Simha 22°10' | 10th | 03°20' Tula | Sextile | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Shinzo Abe | 1954-09-21 | Tokyo, Japan | World Leader | Launch of Abenomics Economic Policy | 2012-12-26 | Vrischika 16°40' | 10th | 13°10' Tula | Sextile | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Jacinda Ardern | 1980-07-26 | Hamilton, New Zealand | World Leader | COVID-19 Elimination Strategy Success Peak | 2020-06-08 | Simha 28°10' | 10th | 05°45' Mesha | Trine | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Justin Trudeau | 1971-12-25 | Ottawa, Canada | World Leader | Canadian Federal Election Victory | 2015-10-19 | Mesha 06°15' | 10th | 07°10' Vrischika | Trine | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Boris Johnson | 1964-06-19 | New York City, NY, US | World Leader | UK General Election Landslide | 2019-12-12 | Makara 09°20' | 10th | 28°10' Dhanu | Pre-Ingress Window | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Kofi Annan | 1938-04-08 | Kumasi, Ghana | World Leader | Nobel Peace Prize Awarded | 2001-10-12 | Meena 24°10' | 10th | 18°20' Vrishabha | Sextile | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
António Guterres | 1949-04-30 | Lisbon, Portugal | World Leader | Appointment as UN Secretary-General | 2016-10-13 | Simha 15°20' | 10th | 21°40' Vrischika | Square | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Pope John Paul II | 1920-05-18 | Wadowice, Poland | World Leader | Papal Election | 1978-10-16 | Simha 01°10' | 10th | 15°40' Simha | Return Window | Astro-Databank (A) / Swiss Ephemeris (Lahiri)
Pope Francis | 1936-12-17 | Buenos Aires, Argentina | World Leader | Papal Election | 2013-03-13 | Meena 25°10' | 10th | 16°10' Tula | Trine | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Dalai Lama XIV | 1935-07-06 | Taktser, Tibet | World Leader | Nobel Peace Prize Awarded | 1989-10-10 | Meena 15°40' | 10th | 18°10' Dhanu | Square | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
Queen Elizabeth II | 1926-04-21 | London, UK | Royalty | Coronation | 1953-06-02 | Vrischika 20°10' | 10th | 29°10' Meena | Trine | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
King Charles III | 1948-11-14 | London, UK | Royalty | Accession to the Throne | 2022-09-08 | Karka 11°20' | 10th | 26°10' Makara | Opposition | Astro-Databank (AA) / Swiss Ephemeris (Lahiri)
