Name,BirthDate,BirthCity,BirthStateProvince,BirthCountry
Tony Hoare,1934-01-11,Colombo,Western Province,Sri Lanka
Niklaus Wirth,1934-02-15,Winterthur,Zurich,Switzerland
Ken Thompson,1943-02-04,New Orleans,Louisiana,United States
Dennis Ritchie,1941-09-09,Bronxville,New York,United States
Vint Cerf,1943-06-23,New Haven,Connecticut,United States
Tim Berners-Lee,1955-06-08,London,England,United Kingdom
Linus Torvalds,1969-12-28,Helsinki,Uusimaa,Finland
Barbara Liskov,1939-11-07,Los Angeles,California,United States
Frances Allen,1932-08-04,Peru,New York,United States
Juris Hartmanis,1928-07-05,Riga,,Latvia
Richard Karp,1935-01-03,Boston,Massachusetts,United States
Butler Lampson,1943-12-23,Washington,District of Columbia,United States
Alan Kay,1940-05-17,Springfield,Massachusetts,United States
Adi Shamir,1952-07-06,Tel Aviv,,Israel
Ron Rivest,1947-05-06,Schenectady,New York,United States
Leonard Adleman,1945-12-31,San Francisco,California,United States
Barbara McClintock,1902-06-16,Hartford,Connecticut,United States
Ernst Mayr,1904-07-05,Kempten,Bavaria,Germany
Theodosius Dobzhansky,1900-01-25,Nemirov,Kiev Governorate,Russian Empire
Salvador Luria,1913-08-13,Turin,Piedmont,Italy
George Palade,1912-11-19,Iasi,,Romania
Jacques Monod,1910-02-09,Paris,Île-de-France,France
Francois Jacob,1920-06-17,Nancy,Meurthe-et-Moselle,France
Seymour Benzer,1921-10-15,New York,New York,United States
Edward O. Wilson,1929-06-10,Birmingham,Alabama,United States
James Watson,1928-04-06,Chicago,Illinois,United States
Francis Crick,1916-06-08,Northampton,England,United Kingdom
Maurice Wilkins,1916-12-15,Pongaroa,,New Zealand
Rosalind Franklin,1920-07-25,London,England,United Kingdom
Lynn Margulis,1938-03-15,Chicago,Illinois,United States
Richard Dawkins,1941-03-26,Nairobi,,Kenya
Craig Venter,1946-10-14,Salt Lake City,Utah,United States
Shinya Yamanaka,1962-09-04,Higashiosaka,Osaka,Japan
Svante Pääbo,1955-04-20,Stockholm,,Sweden
Elizabeth Blackburn,1948-11-26,Hobart,Tasmania,Australia
Carol Greider,1961-04-15,San Diego,California,United States
Linus Pauling,1901-02-28,Portland,Oregon,United States
Glenn Seaborg,1912-04-19,Ishpeming,Michigan,United States
Dorothy Hodgkin,1910-05-12,Cairo,,Egypt
Melvin Calvin,1911-04-08,St. Paul,Minnesota,United States
Robert Burns Woodward,1917-04-10,Boston,Massachusetts,United States
Manfred Eigen,1927-05-09,Bochum,North Rhine-Westphalia,Germany
Aaron Klug,1926-08-11,Želva,Vilnius Region,Lithuania
Walter Gilbert,1932-03-21,Boston,Massachusetts,United States
Paul Berg,1926-06-30,Brooklyn,New York,United States
Roald Hoffmann,1937-07-18,Zolochiv,Lviv Oblast,Poland
K. Barry Sharpless,1941-04-28,Philadelphia,Pennsylvania,United States
Harry Kroto,1939-10-07,Wisbech,England,United Kingdom
Mario Molina,1943-03-19,Mexico City,,Mexico
Emmanuelle Charpentier,1968-12-11,Juvisy-sur-Orge,Essonne,France
Frances Arnold,1956-07-25,Edgewood,Pennsylvania,United States
George Hitchings,1905-04-18,Hoquiam,Washington,United States
Gertrude Elion,1918-01-23,New York,New York,United States
Baruch Blumberg,1925-07-28,New York,New York,United States
J. Michael Bishop,1936-02-22,York,Pennsylvania,United States
Harold Varmus,1939-12-18,Oceanside,New York,United States
Stanley B. Prusiner,1942-05-28,Des Moines,Iowa,United States
Barry Marshall,1951-09-30,Kalgoorlie,Western Australia,Australia
Robin Warren,1937-06-11,Adelaide,South Australia,Australia
Peter Medawar,1915-02-28,Petrópolis,Rio de Janeiro,Brazil
Christian Anfinsen,1916-03-26,Monessen,Pennsylvania,United States
Julius Axelrod,1912-05-30,New York,New York,United States
Bernard Katz,1911-03-26,Leipzig,Saxony,Germany
René Favaloro,1923-07-12,La Plata,Buenos Aires Province,Argentina
Albert Sabin,1906-08-26,Białystok,,Poland
Jonas Salk,1914-10-28,New York,New York,United States
Thomas Starzl,1926-03-11,Le Mars,Iowa,United States
Rosalyn Sussman Yalow,1921-07-19,New York,New York,United States
Rita Levi-Montalcini,1909-04-22,Turin,Piedmont,Italy
John Vane,1927-03-29,Tardebgg,Worcestershire,United Kingdom
Harald zur Hausen,1936-03-11,Gelsenkirchen,North Rhine-Westphalia,Germany
Wernher von Braun,1912-03-23,Wirsitz,Posen,Germany
Frank Whittle,1907-06-01,Earlsdon,England,United Kingdom
Clarence Johnson,1910-02-27,Ishpeming,Michigan,United States
Jack Kilby,1923-11-08,Jefferson City,Missouri,United States
Robert Noyce,1927-12-12,Burlington,Iowa,United States
Alec Issigonis,1906-11-18,Smyrna,,Ottoman Empire
Burt Rutan,1943-06-17,Estacada,Oregon,United States
Denise Scott Brown,1931-10-03,Mufulira,,Zambia
Niels Amdahl,1922-11-10,Flandreau,South Dakota,United States
Gordon Moore,1929-01-03,San Francisco,California,United States
Marcian Hoff,1937-10-28,Rochester,New York,United States
Federico Faggin,1941-12-01,Vicenza,Veneto,Italy
Shuji Nakamura,1954-05-22,Ikata,Ehime,Japan
Nick Holonyak,1928-11-03,Zeigler,Illinois,United States
Charles Kao,1933-11-04,Shanghai,,China
Yakov Zeldovich,1914-03-08,Minsk,,Belarus
Sergey Korolev,1907-01-12,Zhytomyr,,Ukraine
Hedy Lamarr,1914-11-09,Vienna,,Austria
John S. Bell,1928-06-28,Belfast,Northern Ireland,United Kingdom
Ralph Baer,1922-03-08,Rodalben,Palatinate,Germany
Milton Friedman,1912-07-31,New York,New York,United States
W. Arthur Lewis,1915-01-23,Castries,,Saint Lucia
Paul Samuelson,1915-05-15,Gary,Indiana,United States
Kenneth Arrow,1921-08-23,New York,New York,United States
Tjalling Koopmans,1910-08-28,'s-Graveland,North Holland,Netherlands
Robert Solow,1924-08-23,New York,New York,United States
James Buchanan Jr.,1919-10-03,Murfreesboro,Tennessee,United States
Gary Becker,1930-12-02,Pottsville,Pennsylvania,United States
Amartya Sen,1933-11-03,Santiniketan,West Bengal,India
Joseph Stiglitz,1943-02-09,Gary,Indiana,United States
Daniel Kahneman,1934-03-05,Tel Aviv,,Israel
Elinor Ostrom,1933-08-07,Los Angeles,California,United States
Paul Krugman,1953-02-28,Albany,New York,United States
Jean Tirole,1953-08-09,Troyes,Aube,France
Richard Thaler,1945-09-12,East Orange,New Jersey,United States
B.F. Skinner,1904-03-20,Susquehanna,Pennsylvania,United States
Carl Rogers,1902-01-08,Oak Park,Illinois,United States
Abraham Maslow,1908-04-01,New York,New York,United States
John Bowlby,1907-02-26,London,England,United Kingdom
Erik Erikson,1902-06-15,Frankfurt,Hesse,Germany
Albert Bandura,1925-12-04,Mundare,Alberta,Canada
Ulric Neisser,1928-12-08,Kiel,Schleswig-Holstein,Germany
Aaron Beck,1921-07-18,Providence,Rhode Island,United States
Herbert A. Simon,1916-06-15,Milwaukee,Wisconsin,United States
Jerome Bruner,1915-10-01,New York,New York,United States
Karl Popper,1902-07-28,Vienna,,Austria
Jean-Paul Sartre,1905-06-21,Paris,Île-de-France,France
Hannah Arendt,1906-10-14,Linden,Lower Saxony,Germany
Simone de Beauvoir,1908-01-09,Paris,Île-de-France,France
W. V. O. Quine,1908-06-25,Akron,Ohio,United States
A. J. Ayer,1910-10-29,St John's Wood,London,United Kingdom
Albert Camus,1913-11-07,Mondovi,Algeria,France
John Rawls,1921-02-21,Baltimore,Maryland,United States
Thomas Kuhn,1922-07-18,Cincinnati,Ohio,United States
Jürgen Habermas,1929-06-18,Düsseldorf,North Rhine-Westphalia,Germany
John McCarthy,1927-09-04,Boston,Massachusetts,United States
Marvin Minsky,1927-08-09,New York,New York,United States
Allen Newell,1927-03-19,San Francisco,California,United States
Geoffrey Hinton,1947-12-06,Wimbledon,London,United Kingdom
Yann LeCun,1960-07-08,Soisy-sous-Montmorency,Val-d'Oise,France
Yoshua Bengio,1964-03-05,Paris,Île-de-France,France
Judea Pearl,1936-09-04,Tel Aviv,,Mandatory Palestine
Fei-Fei Li,1976-07-03,Beijing,,China
Demis Hassabis,1976-07-27,London,England,United Kingdom
Stuart Russell,1962-02-12,Portsmouth,England,United Kingdom
Peter Norvig,1956-12-14,Los Angeles,California,United States
Bernhard Schölkopf,1968-02-17,Stuttgart,Baden-Württemberg,Germany
Andrew Ng,1976-04-18,London,,United Kingdom
Michael I. Jordan,1956-07-16,Palm Bay,Florida,United States
Leslie Valiant,1949-03-28,Budapest,,Hungary
Fred Hoyle,1915-06-24,Bingley,England,United Kingdom
George Gamow,1904-03-04,Odesa,,Ukraine
Jan Oort,1900-04-28,Franeker,Friesland,Netherlands
Vera Rubin,1923-07-23,Philadelphia,Pennsylvania,United States
Noam Chomsky,1928-12-07,Philadelphia,Pennsylvania,United States
Jane Goodall,1934-04-03,London,England,United Kingdom
Chien-Shiung Wu,1912-05-31,Taicang,Jiangsu,China
Mildred Dresselhaus,1930-11-11,Brooklyn,New York,United States
Jennifer Doudna,1964-02-19,Washington,District of Columbia,United States
Tu Youyou,1930-12-30,Ningbo,Zhejiang,China
