Name,Birth Date,Birthplace,Country,Profession,Major Achievement,Peak Year,Peak Event Date,Birth Time (UTC),Rodden Rating,Data Source,Natal Saturn Sign,Natal Saturn Degree,Natal Saturn House,Natal Saturn Dignity,Transit Saturn Sign,Transit Saturn Degree,Saturn Pattern,Pattern Type,Calculation Status,Notes
Isaac Newton,1642-12-25,"Woolsthorpe, England",UK,Physicist,Principia Mathematica,1687,1687-06-21,14:30,C,Historical Records,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Charles Darwin,1809-02-12,"Shrewsbury, England",UK,Naturalist,On the Origin of Species,1859,1859-06-21,07:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Nikola Tesla,1856-07-10,"Smiljan, Croatia",Serbia,Inventor,AC power system,1887,1887-06-21,00:00,DD,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Winston Churchill,1874-11-30,"Woodstock, England",UK,Statesman,WWII leadership,1940,1940-06-21,01:30,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Franklin D. Roosevelt,1882-01-30,"Hyde Park, NY",USA,President,New Deal/WWII,1933,1933-06-21,22:45,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Margaret Thatcher,1925-10-13,"Grantham, England",UK,Prime Minister,Thatcher ministry,1979,1979-06-21,09:00,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Indira Gandhi,1917-11-19,"Allahabad, India",India,Prime Minister,Emergency declaration,1975,1975-06-21,23:02,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Pelé,1940-10-23,"Três Corações, Brazil",Brazil,Athlete,1970 World Cup,1970,1970-06-21,14:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Muhammad Ali,1942-01-17,"Louisville, KY",USA,Athlete,Heavyweight champion,1964,1964-06-21,18:35,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Tiger Woods,1975-12-30,"Cypress, CA",USA,Athlete,Masters 1997 victory,1997,1997-06-21,22:50,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Pablo Picasso,1881-10-25,"Málaga, Spain",Spain,Artist,Cubism development,1907,1907-06-21,23:15,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Vincent van Gogh,1853-03-30,"Groot-Zundert, Netherlands",Netherlands,Artist,Artistic maturity,1888,1888-06-21,11:00,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Ludwig van Beethoven,1770-12-16,"Bonn, Germany",Germany,Composer,Symphony No. 9,1824,1824-06-21,02:00,C,Historical Records,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Carl Jung,1875-07-26,"Kesswil, Switzerland",Switzerland,Psychologist,Analytical psychology development,1913,1913-06-21,19:15,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Sigmund Freud,1856-05-06,"Freiberg, Austria",Austria,Psychologist,Psychoanalysis founding,1900,1900-06-21,18:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Florence Nightingale,1820-05-12,"Florence, Italy",UK,Nurse,Crimean War reforms,1854,1854-06-21,23:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Nelson Mandela,1918-07-18,"Mvezo, South Africa",South Africa,Leader,Presidency,1994,1994-06-21,14:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Mahatma Gandhi,1869-10-02,"Porbandar, India",India,Leader,Independence movement peak,1947,1947-06-21,07:09,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Martin Luther King Jr.,1929-01-15,"Atlanta, GA",USA,Activist,I Have a Dream speech,1963,1963-06-21,12:00,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Steve Wozniak,1950-08-11,"San Jose, CA",USA,Inventor,Apple I computer,1976,1976-06-21,11:25,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Richard Branson,1950-07-18,"Surrey, England",UK,Entrepreneur,Virgin Airlines launch,1984,1984-06-21,08:55,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Bertrand Russell,1872-05-18,"Trelleck, Wales",UK,Philosopher,Principia Mathematica,1910,1910-06-21,05:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Carl Sagan,1934-11-09,"Brooklyn, NY",USA,Scientist,Cosmos television series,1980,1980-06-21,10:24,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Stephen Hawking,1942-01-08,"Oxford, England",UK,Physicist,Black Hole Radiation,1974,1974-06-21,08:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Jane Goodall,1934-04-03,"London, England",UK,Primatologist,Chimpanzee research peak,1977,1977-06-21,04:00,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Rachel Carson,1907-05-27,"Springdale, PA",USA,Writer/Scientist,Silent Spring publication,1962,1962-06-21,14:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Walt Disney,1901-12-05,"Chicago, IL",USA,Entertainment,Disneyland opening,1955,1955-06-21,12:08,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Coco Chanel,1883-08-19,"Saumur, France",France,Designer,Chanel No. 5 launch,1922,1922-06-21,12:00,C,Historical Records,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Henry Ford,1863-07-30,"Dearborn, MI",USA,Industrialist,Model T mass production,1908,1908-06-21,19:53,AA,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Thomas Edison,1847-02-11,"Milan, OH",USA,Inventor,Light bulb/industrial success,1879,1879-06-21,09:00,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Alexander Graham Bell,1847-03-03,"Edinburgh, Scotland",Scotland,Inventor,Telephone patent,1876,1876-06-21,00:30,C,Historical Records,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
George Washington,1732-02-22,"Westmoreland County, VA",USA,Leader,Independence War,1776,1776-06-21,10:00,C,Historical Records,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Abraham Lincoln,1809-02-12,"Hodgenville, KY",USA,President,Emancipation Proclamation,1863,1863-06-21,06:24,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Theodore Roosevelt,1858-10-27,"New York, NY",USA,President,Presidency,1901,1901-06-21,19:15,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
John F. Kennedy,1917-05-29,"Brookline, MA",USA,President,Presidency,1961,1961-06-21,15:00,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Eleanor Roosevelt,1884-10-11,"New York, NY",USA,Activist,UN Commission on Human Rights,1945,1945-06-21,14:00,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Bertrand Russell,1872-05-18,"Trelleck, Wales",UK,Philosopher,Nobel Prize,1950,1950-06-21,05:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Arthur Conan Doyle,1859-05-22,"Edinburgh, Scotland",UK,Writer,Sherlock Holmes publication,1887,1887-06-21,07:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Agatha Christie,1890-01-15,"Torquay, England",UK,Writer,Murder on the Orient Express,1934,1934-06-21,14:00,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Ernest Hemingway,1899-07-21,"Oak Park, IL",USA,Writer,Nobel Prize in Literature,1954,1954-06-21,08:00,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
Maya Angelou,1928-04-04,"St. Louis, MO",USA,Writer,I Know Why the Caged Bird Sings,1969,1969-06-21,18:30,A,Astro-Databank,Leo,7.41,1,Neutral,Unknown,Unknown,Unknown,Unknown,calculated,
