Name,BirthDate,BirthCity,BirthStateProvince,BirthCountry,PrimaryField,MainContribution
Matthew Bailey,1936-11-23,São Paulo,São Paulo,Brazil,Market Research,Neuromarketing and Emotional Engagement Measurement
Joshua Gomez,1979-03-20,New York City,New York,United States,Academic Marketing Research,Luxury Brand Scarcity and Prestige Positioning
Amanda Hill,1937-08-20,Toronto,Ontario,Canada,Luxury Brand Strategy,Behavioral Nudges in Consumer Choice
Nicole Jenkins,1924-02-14,Singapore,,Singapore,Consumer Behavior,Digital Attribution and Customer Lifetime Value Modeling
Stephen Chavez,1960-09-04,New York City,New York,United States,Brand Management,Brand Equity Valuation Frameworks
Mark White,1947-04-24,Mumbai,Maharashtra,India,Behavioral Economics,Neuromarketing and Emotional Engagement Measurement
Paul Scott,1947-12-27,Cape Town,,South Africa,Innovation Strategy,Behavioral Nudges in Consumer Choice
Scott Turner,1953-08-27,London,,United Kingdom,Consumer Research,Innovation Diffusion and New Product Adoption Models
Margaret Jimenez,1968-12-16,Cape Town,,South Africa,Brand Management,Neuromarketing and Emotional Engagement Measurement
Margaret Phillips,1916-12-28,Zurich,,Switzerland,Advertising Strategy,Neuromarketing and Emotional Engagement Measurement
Justin Clark,1945-05-03,New York City,New York,United States,Academic Marketing Research,Omnichannel Retail Strategy and Customer Experience
Helen Wright,1932-03-18,Cairo,,Egypt,Brand Strategy,Service Quality and Customer Satisfaction Metrics
Patrick Clark,1931-06-23,London,,United Kingdom,Customer Psychology,Consumer Decision Journey Modelling
Emma Martin,1932-09-11,Stockholm,,Sweden,Behavioral Economics,Social Media Influence and Word-of-Mouth Propagation
Frank Lewis,1949-09-24,Milan,,Italy,Behavioral Economics,Pricing Elasticity and Consumer Choice Architecture
Larry Mitchell,1919-01-08,Zurich,,Switzerland,Luxury Brand Strategy,Behavioral Nudges in Consumer Choice
Stephanie Hughes,1914-12-02,London,,United Kingdom,Branding Consultancy,Pricing Elasticity and Consumer Choice Architecture
Jessica Rogers,1961-06-26,Seoul,,South Korea,Academic Marketing Research,B2B Relationship Marketing Frameworks
Michelle Moore,1953-11-28,Paris,,France,Consumer Research,Service Quality and Customer Satisfaction Metrics
Jennifer Morales,1904-07-04,Berlin,,Germany,Pricing Strategy,Brand Personality Scale and Self-Congruity Theory
Debra Roberts,1954-08-20,Stockholm,,Sweden,Pricing Strategy,Consumer Decision Journey Modelling
Jacob Perez,1916-08-19,Paris,,France,Market Research,Innovation Diffusion and New Product Adoption Models
James Stewart,1900-02-22,Stockholm,,Sweden,Marketing Science,Social Media Influence and Word-of-Mouth Propagation
James Jackson,1960-07-05,Toronto,Ontario,Canada,Digital Marketing Research,B2B Relationship Marketing Frameworks
Steven Turner,1956-12-05,Amsterdam,,Netherlands,Product Marketing,Behavioral Nudges in Consumer Choice
Lisa Bailey,1975-10-26,Stockholm,,Sweden,Behavioral Economics,Empirical Generalizations in Marketing
Eric Long,1922-10-10,Paris,,France,Brand Management,Consumer Decision Journey Modelling
Patricia Ross,1909-10-19,New York City,New York,United States,Marketing Strategy,Social Media Influence and Word-of-Mouth Propagation
Michael Jackson,1923-07-02,Seoul,,South Korea,Academic Marketing Research,Service Quality and Customer Satisfaction Metrics
Matthew Evans,1934-12-01,New York City,New York,United States,Branding Consultancy,Luxury Brand Scarcity and Prestige Positioning
Matthew Cooper,1964-01-08,Cairo,,Egypt,Retail Strategy,Innovation Diffusion and New Product Adoption Models
Ryan Taylor,1911-02-19,Singapore,,Singapore,Brand Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Kathleen Castillo,1907-10-10,London,,United Kingdom,Branding Consultancy,Pricing Elasticity and Consumer Choice Architecture
Richard Peterson,1957-05-18,Milan,,Italy,Retail Strategy,Social Media Influence and Word-of-Mouth Propagation
Larry Alvarez,1920-09-04,Cairo,,Egypt,Marketing Strategy,Pricing Elasticity and Consumer Choice Architecture
Timothy Gutierrez,1948-03-16,Sydney,New South Wales,Australia,Marketing Analytics,Brand Equity Valuation Frameworks
Catherine Clark,1922-05-12,Seoul,,South Korea,Pricing Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Jacob Martin,1961-04-16,Milan,,Italy,Branding Consultancy,Brand Equity Valuation Frameworks
Maria Anderson,1960-09-19,Melbourne,Victoria,Australia,Market Research,Retail Shopper Psychology and In-Store Decision Dynamics
Jeffrey Watson,1951-03-26,Amsterdam,,Netherlands,Luxury Brand Strategy,Cross-Cultural Consumer Behavior Analysis
Donna Jenkins,1911-09-20,Sydney,New South Wales,Australia,Luxury Brand Strategy,Pricing Elasticity and Consumer Choice Architecture
Brandon Parker,1941-10-07,Zurich,,Switzerland,Marketing Strategy,Neuromarketing and Emotional Engagement Measurement
Brenda Myers,1974-02-15,Melbourne,Victoria,Australia,Market Research,B2B Relationship Marketing Frameworks
Jessica Martin,1906-08-10,São Paulo,São Paulo,Brazil,Marketing Analytics,Luxury Brand Scarcity and Prestige Positioning
Ashley Jones,1928-05-06,Cape Town,,South Africa,Marketing Science,Brand Personality Scale and Self-Congruity Theory
Sandra Ruiz,1916-07-25,Milan,,Italy,Brand Management,Empirical Generalizations in Marketing
Michelle King,1918-12-22,Tokyo,,Japan,Customer Psychology,B2B Relationship Marketing Frameworks
Joshua Adams,1966-02-28,Buenos Aires,,Argentina,Marketing Science,Social Media Influence and Word-of-Mouth Propagation
Brandon Smith,1902-12-25,Seoul,,South Korea,Consumer Research,Digital Attribution and Customer Lifetime Value Modeling
William Stewart,1943-05-16,Chicago,Illinois,United States,Marketing Strategy,Empirical Generalizations in Marketing
Ruth Perez,1919-09-18,Amsterdam,,Netherlands,Market Research,Brand Equity Valuation Frameworks
Mark Moore,1930-01-21,Toronto,Ontario,Canada,Luxury Brand Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Susan Cox,1911-10-16,Mumbai,Maharashtra,India,Advertising Strategy,Innovation Diffusion and New Product Adoption Models
Timothy Walker,1907-10-28,Sydney,New South Wales,Australia,Marketing Science,B2B Relationship Marketing Frameworks
Karen Evans,1927-12-05,São Paulo,São Paulo,Brazil,Brand Management,Brand Personality Scale and Self-Congruity Theory
Jason Rogers,1916-09-01,Buenos Aires,,Argentina,Pricing Strategy,Innovation Diffusion and New Product Adoption Models
Patrick Nguyen,1905-02-19,Paris,,France,Service Marketing,Pricing Elasticity and Consumer Choice Architecture
Ashley Wilson,1955-02-27,Milan,,Italy,Marketing Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Eric Ortiz,1917-01-11,Seoul,,South Korea,Pricing Strategy,Brand Equity Valuation Frameworks
Janet Jenkins,1900-05-16,Berlin,,Germany,Product Marketing,Cross-Cultural Consumer Behavior Analysis
Rachel Jones,1902-05-23,Paris,,France,Marketing Strategy,B2B Relationship Marketing Frameworks
Melissa Bennett,1916-05-14,São Paulo,São Paulo,Brazil,Innovation Strategy,Brand Equity Valuation Frameworks
Mary Mitchell,1976-04-01,Seoul,,South Korea,Marketing Science,Brand Personality Scale and Self-Congruity Theory
Jonathan Patel,1971-07-26,London,,United Kingdom,Brand Strategy,Luxury Brand Scarcity and Prestige Positioning
Tyler Anderson,1964-06-12,Paris,,France,Product Marketing,Brand Personality Scale and Self-Congruity Theory
Jack Sanchez,1978-05-21,Zurich,,Switzerland,Consumer Behavior,Luxury Brand Scarcity and Prestige Positioning
Mary Green,1963-12-02,Berlin,,Germany,Marketing Analytics,Consumer Decision Journey Modelling
Amy Allen,1978-11-19,London,,United Kingdom,Academic Marketing Research,Pricing Elasticity and Consumer Choice Architecture
Scott Jimenez,1978-12-23,Cairo,,Egypt,Branding Consultancy,Brand Equity Valuation Frameworks
David Young,1903-10-24,Seoul,,South Korea,Customer Psychology,Brand Equity Valuation Frameworks
Angela Price,1968-02-06,London,,United Kingdom,Pricing Strategy,Behavioral Nudges in Consumer Choice
Gregory Cox,1922-07-16,Chicago,Illinois,United States,Luxury Brand Strategy,Service Quality and Customer Satisfaction Metrics
Michael Brown,1955-09-03,Toronto,Ontario,Canada,Marketing Analytics,Social Media Influence and Word-of-Mouth Propagation
Mary Perez,1920-05-18,Cairo,,Egypt,Advertising Strategy,Brand Equity Valuation Frameworks
David Anderson,1945-02-17,Zurich,,Switzerland,Pricing Strategy,Luxury Brand Scarcity and Prestige Positioning
Dorothy Lewis,1946-09-22,Amsterdam,,Netherlands,Retail Strategy,Omnichannel Retail Strategy and Customer Experience
Dennis Murphy,1980-10-04,New York City,New York,United States,Marketing Science,Brand Equity Valuation Frameworks
Ruth Diaz,1978-08-22,Zurich,,Switzerland,Innovation Strategy,Service Quality and Customer Satisfaction Metrics
Robert Lewis,1913-11-24,Cape Town,,South Africa,Behavioral Economics,Neuromarketing and Emotional Engagement Measurement
George Lee,1937-03-19,Amsterdam,,Netherlands,Marketing Strategy,Innovation Diffusion and New Product Adoption Models
Melissa Adams,1956-01-07,Melbourne,Victoria,Australia,Product Marketing,Social Media Influence and Word-of-Mouth Propagation
Angela Ramirez,1967-10-03,São Paulo,São Paulo,Brazil,Pricing Strategy,Consumer Decision Journey Modelling
Maria Ruiz,1933-08-08,Seoul,,South Korea,Digital Marketing Research,Neuromarketing and Emotional Engagement Measurement
Frank Baker,1905-04-26,London,,United Kingdom,Pricing Strategy,Digital Attribution and Customer Lifetime Value Modeling
Eric Parker,1921-05-06,Berlin,,Germany,Luxury Brand Strategy,Empirical Generalizations in Marketing
Debra Cox,1961-08-23,São Paulo,São Paulo,Brazil,Brand Strategy,Neuromarketing and Emotional Engagement Measurement
Gary Nelson,1935-08-06,London,,United Kingdom,Academic Marketing Research,Innovation Diffusion and New Product Adoption Models
Deborah Brown,1978-06-22,Seoul,,South Korea,Advertising Strategy,Neuromarketing and Emotional Engagement Measurement
Lisa Reyes,1965-11-08,Cape Town,,South Africa,Pricing Strategy,Innovation Diffusion and New Product Adoption Models
David Reed,1925-06-04,Cape Town,,South Africa,Academic Marketing Research,Brand Equity Valuation Frameworks
Kenneth Anderson,1946-01-26,Zurich,,Switzerland,Advertising Strategy,Cross-Cultural Consumer Behavior Analysis
Daniel Perry,1976-11-03,New York City,New York,United States,Advertising Strategy,Consumer Decision Journey Modelling
Christopher Jones,1922-10-12,London,,United Kingdom,Pricing Strategy,Service Quality and Customer Satisfaction Metrics
Robert Gray,1964-05-09,Seoul,,South Korea,Market Research,Luxury Brand Scarcity and Prestige Positioning
Donald Clark,1937-07-03,Seoul,,South Korea,Marketing Strategy,Behavioral Nudges in Consumer Choice
Sharon Cox,1908-02-12,Toronto,Ontario,Canada,Brand Strategy,Brand Equity Valuation Frameworks
Benjamin Gutierrez,1921-12-08,Chicago,Illinois,United States,Market Research,Cross-Cultural Consumer Behavior Analysis
Mark Morales,1929-03-21,Paris,,France,Marketing Strategy,Neuromarketing and Emotional Engagement Measurement
Sharon Lewis,1961-04-25,Milan,,Italy,Customer Psychology,Pricing Elasticity and Consumer Choice Architecture
Andrew Nelson,1971-07-08,Zurich,,Switzerland,Branding Consultancy,Social Media Influence and Word-of-Mouth Propagation
George Rogers,1914-01-25,Seoul,,South Korea,Consumer Research,Omnichannel Retail Strategy and Customer Experience
Ashley Watson,1952-08-08,Cape Town,,South Africa,Behavioral Economics,Neuromarketing and Emotional Engagement Measurement
Michelle Miller,1966-07-19,Mumbai,Maharashtra,India,Customer Psychology,Brand Personality Scale and Self-Congruity Theory
Donald Young,1932-04-07,Sydney,New South Wales,Australia,Advertising Strategy,Pricing Elasticity and Consumer Choice Architecture
Carolyn Robinson,1954-01-04,London,,United Kingdom,Customer Psychology,Cross-Cultural Consumer Behavior Analysis
Melissa Jimenez,1937-04-13,Buenos Aires,,Argentina,Service Marketing,Social Media Influence and Word-of-Mouth Propagation
Thomas Jones,1928-04-12,Milan,,Italy,Consumer Behavior,Luxury Brand Scarcity and Prestige Positioning
Rachel Hill,1935-10-11,Paris,,France,Academic Marketing Research,Luxury Brand Scarcity and Prestige Positioning
Melissa Green,1905-08-23,Amsterdam,,Netherlands,Innovation Strategy,Luxury Brand Scarcity and Prestige Positioning
Matthew Castillo,1912-08-18,New York City,New York,United States,Service Marketing,Service Quality and Customer Satisfaction Metrics
Karen Rivera,1975-12-04,Stockholm,,Sweden,Brand Management,Cross-Cultural Consumer Behavior Analysis
Justin Howard,1930-10-09,Cape Town,,South Africa,Innovation Strategy,Service Quality and Customer Satisfaction Metrics
Samuel Ruiz,1910-07-01,Zurich,,Switzerland,Marketing Strategy,Cross-Cultural Consumer Behavior Analysis
Emma Hill,1953-07-25,New York City,New York,United States,Branding Consultancy,Service Quality and Customer Satisfaction Metrics
Donald White,1946-09-21,São Paulo,São Paulo,Brazil,Customer Psychology,Empirical Generalizations in Marketing
Susan Lewis,1940-03-20,Chicago,Illinois,United States,Advertising Strategy,Consumer Decision Journey Modelling
Richard James,1933-11-17,Chicago,Illinois,United States,Digital Marketing Research,Luxury Brand Scarcity and Prestige Positioning
Mary Cruz,1923-09-07,Buenos Aires,,Argentina,Advertising Strategy,Cross-Cultural Consumer Behavior Analysis
Pamela Scott,1948-11-22,Singapore,,Singapore,Product Marketing,Retail Shopper Psychology and In-Store Decision Dynamics
Kathleen Gray,1948-04-22,Mumbai,Maharashtra,India,Product Marketing,Retail Shopper Psychology and In-Store Decision Dynamics
James Foster,1912-07-19,Cape Town,,South Africa,Product Marketing,Social Media Influence and Word-of-Mouth Propagation
Christine Allen,1915-08-19,Singapore,,Singapore,Consumer Research,Behavioral Nudges in Consumer Choice
Jack Morgan,1937-03-04,New York City,New York,United States,Marketing Science,Social Media Influence and Word-of-Mouth Propagation
Elizabeth Williams,1931-10-10,Cape Town,,South Africa,Innovation Strategy,Consumer Decision Journey Modelling
Carolyn Hughes,1954-12-18,Tokyo,,Japan,Marketing Science,Brand Equity Valuation Frameworks
Susan Cooper,1958-08-22,Amsterdam,,Netherlands,Marketing Strategy,Neuromarketing and Emotional Engagement Measurement
Mary Jimenez,1907-02-03,Zurich,,Switzerland,Innovation Strategy,Luxury Brand Scarcity and Prestige Positioning
Steven Peterson,1936-06-21,Zurich,,Switzerland,Luxury Brand Strategy,Consumer Decision Journey Modelling
Richard Kim,1906-01-23,Cape Town,,South Africa,Luxury Brand Strategy,Social Media Influence and Word-of-Mouth Propagation
Joshua Hill,1928-12-18,London,,United Kingdom,Consumer Research,Omnichannel Retail Strategy and Customer Experience
Donna Thompson,1910-10-02,Toronto,Ontario,Canada,Digital Marketing Research,Empirical Generalizations in Marketing
David Flores,1937-09-02,Melbourne,Victoria,Australia,Brand Strategy,Empirical Generalizations in Marketing
Anna Clark,1980-10-24,Zurich,,Switzerland,Product Marketing,Consumer Decision Journey Modelling
Kathleen Thomas,1908-08-02,Milan,,Italy,Behavioral Economics,Pricing Elasticity and Consumer Choice Architecture
Brian Brown,1925-10-13,London,,United Kingdom,Marketing Strategy,Luxury Brand Scarcity and Prestige Positioning
Michelle Lee,1984-10-04,São Paulo,São Paulo,Brazil,Advertising Strategy,Consumer Decision Journey Modelling
Paul Flores,1924-06-26,Melbourne,Victoria,Australia,Customer Psychology,Digital Attribution and Customer Lifetime Value Modeling
Helen Robinson,1956-06-27,Mumbai,Maharashtra,India,Consumer Behavior,Innovation Diffusion and New Product Adoption Models
Jennifer Kelly,1909-01-26,Zurich,,Switzerland,Consumer Behavior,Innovation Diffusion and New Product Adoption Models
Linda Ortiz,1950-05-04,Cape Town,,South Africa,Retail Strategy,Service Quality and Customer Satisfaction Metrics
Daniel Hill,1958-07-08,Toronto,Ontario,Canada,Consumer Behavior,Retail Shopper Psychology and In-Store Decision Dynamics
Timothy Harris,1968-08-01,Sydney,New South Wales,Australia,Service Marketing,Empirical Generalizations in Marketing
Shirley Jenkins,1980-11-13,Chicago,Illinois,United States,Consumer Behavior,Pricing Elasticity and Consumer Choice Architecture
Edward Morgan,1972-09-08,Seoul,,South Korea,Consumer Research,Pricing Elasticity and Consumer Choice Architecture
Nancy Rivera,1941-09-07,Toronto,Ontario,Canada,Brand Strategy,Consumer Decision Journey Modelling
Raymond Turner,1911-03-05,Melbourne,Victoria,Australia,Product Marketing,Social Media Influence and Word-of-Mouth Propagation
Paul Kim,1956-07-17,Amsterdam,,Netherlands,Digital Marketing Research,Behavioral Nudges in Consumer Choice
Cynthia Price,1982-08-21,Seoul,,South Korea,Marketing Strategy,Digital Attribution and Customer Lifetime Value Modeling
Cynthia Reed,1971-09-18,Melbourne,Victoria,Australia,Service Marketing,Luxury Brand Scarcity and Prestige Positioning
Edward Lewis,1946-10-16,Tokyo,,Japan,Product Marketing,Retail Shopper Psychology and In-Store Decision Dynamics
Edward Mendoza,1906-05-07,São Paulo,São Paulo,Brazil,Branding Consultancy,Brand Personality Scale and Self-Congruity Theory
Amanda Morris,1981-04-07,Toronto,Ontario,Canada,Marketing Analytics,Luxury Brand Scarcity and Prestige Positioning
Paul Thomas,1930-08-03,Melbourne,Victoria,Australia,Pricing Strategy,Consumer Decision Journey Modelling
John Flores,1942-08-26,Melbourne,Victoria,Australia,Behavioral Economics,Omnichannel Retail Strategy and Customer Experience
Michael Myers,1924-02-01,Stockholm,,Sweden,Pricing Strategy,B2B Relationship Marketing Frameworks
Ashley Edwards,1941-02-27,Milan,,Italy,Pricing Strategy,Consumer Decision Journey Modelling
Nicholas Foster,1938-04-17,Melbourne,Victoria,Australia,Luxury Brand Strategy,Service Quality and Customer Satisfaction Metrics
Christopher Allen,1924-07-20,Paris,,France,Consumer Research,Behavioral Nudges in Consumer Choice
Jerry Williams,1944-08-18,Sydney,New South Wales,Australia,Marketing Analytics,Behavioral Nudges in Consumer Choice
Justin Ramirez,1947-01-21,Zurich,,Switzerland,Service Marketing,Pricing Elasticity and Consumer Choice Architecture
Donald Phillips,1967-12-27,Paris,,France,Marketing Strategy,Luxury Brand Scarcity and Prestige Positioning
Michelle Adams,1955-08-11,Milan,,Italy,Consumer Behavior,Pricing Elasticity and Consumer Choice Architecture
Carol Diaz,1903-11-08,Buenos Aires,,Argentina,Branding Consultancy,Social Media Influence and Word-of-Mouth Propagation
Melissa Powell,1956-10-09,Seoul,,South Korea,Brand Strategy,Service Quality and Customer Satisfaction Metrics
William Jones,1904-06-15,Seoul,,South Korea,Market Research,Neuromarketing and Emotional Engagement Measurement
Kenneth Murphy,1934-02-18,Seoul,,South Korea,Brand Strategy,Brand Personality Scale and Self-Congruity Theory
Ruth Taylor,1972-04-14,Paris,,France,Consumer Behavior,Luxury Brand Scarcity and Prestige Positioning
Barbara Cooper,1928-09-03,London,,United Kingdom,Digital Marketing Research,B2B Relationship Marketing Frameworks
Benjamin Ramirez,1904-11-27,London,,United Kingdom,Service Marketing,Digital Attribution and Customer Lifetime Value Modeling
Amanda Jones,1947-10-18,Berlin,,Germany,Marketing Strategy,Innovation Diffusion and New Product Adoption Models
Dennis Richardson,1927-05-13,Seoul,,South Korea,Marketing Analytics,Service Quality and Customer Satisfaction Metrics
Alexander Foster,1961-03-26,Toronto,Ontario,Canada,Marketing Science,Consumer Decision Journey Modelling
Benjamin Sanders,1976-01-06,Cape Town,,South Africa,Luxury Brand Strategy,Service Quality and Customer Satisfaction Metrics
Katherine Jimenez,1958-11-16,São Paulo,São Paulo,Brazil,Pricing Strategy,Luxury Brand Scarcity and Prestige Positioning
Alexander Alvarez,1952-10-04,Berlin,,Germany,Behavioral Economics,Cross-Cultural Consumer Behavior Analysis
